ProjectID,InternalId,Project Name,Billing Budget,Costing Budget
SB22541,10678,Networking Event @ IPL Chinnaswamy Stadium,2001000,1500750
SB22542,10679,Confluent Booklet Printing,120750,90562.5
SB22543,10680,BROOKFIELD POWAI - CUSTOMER EXPERIENCE JOURNEY,1448283,1086212.25
SB22544,10681,Intel GPTW activities,35962,26971.5
SB22545,10682,Hitachi SKO 25,3500020,2625015
SB22546,10683,Cognizant Computershare Client Visit,571307,428480.25
SB22547,10684,Amazon Booth - Soul Sante,73590,55192.5
SB22548,10685,LSIP - Pickleball Tournament,581460,436095
SB22549,10686,Siemens CEO Townhall Event,286859,215144.25
SB22550,10687,Metro Cash & Carry - Annual Meet,2117334,1588000.5
SB22551,10688,OnePlus pop-up,699894,524920.5
SB22552,10689,Hul  Grat Fest 2025,1864118,1398088.5
SB22553,10690,Siemens SRE Townhall,399644,299733
SB22554,10691,GOC - Backdrop Installation,16100,12075
SB22555,10692,Amazon AFBP Graduation Ceremony,137198,102898.5
SB22556,10693,Amazon Smart Wallet Launch,72400,54300
SB22557,10694,OnePlus Jam Night in Delhi,629684,472263
SB22558,10695,Cognizant Nationwide Client Visit,215490,161617.5
SB22559,10696,HPE Cloud Connect ,2150500,1612875
SB22560,10697,HPE Aruba Networking Day,1020000,765000
SB22561,10698,"Dell - Indian Express events in May - 21, 22, 28 & 30th May",10000000,7500000
SB22562,10699,"Dell - Indian Express events in June - 4, 12 & 18th June.",10000000,7500000
SB22563,10700,"Dell - Indian Express events in July - 2, 9 & 16th July",10000000,7500000
SB22564,10701,BP India LT Dinner,1017327,762995.25
SB22565,10702,Apparel Fashion Tech World,1643862,1232896.5
SB22566,10703,HUL MT Conference 2025,3471250,2603437.5
SB22567,10704,DBS Plasma Installation,22440,16830
SB22568,10705,Tata Motors Investor Day 2025,1523500,1142625
SB22569,10706,Vivo V50e in Mumbai,11153280,8364960
SB22570,10707,Accenture Photographer Requirement - Multi City,171600,128700
SB22571,10708,Intel Booth at Start Up Mahakumbh,2779112,2084334
SB22572,10709,Team Bonding - Astrazeneca,94072,70554
SB22573,10710,Amazon Townhall Meeting,33583,25187.25
SB22574,10711,OnePlus OEF,1711179,1283384.25
SB22575,10712,BP All India Townhall 2025,835524,626643
SB22576,10713,RNTBCI Gemba visit,820930,615697.5
SB22577,10714,Hero DIC Zonal Meet,3460086,2595064.5
SB22578,10715,Siemens Switch board Factory 50 years,5333936,4000452
SB22579,11232,CIO Summit event,659496,494622
SB22580,10716,Towards CIO Roundtable in Bangalore,650000,487500
SB22581,10717,Booking the hotel Aloft New Delhi ,655500,491625
SB22582,10718,BP Exploration,138448,103836
SB22583,10719,DBS Webinar session with Navneet Munot,55000,41250
SB22584,10720,Asus P series Launch,2600192,1950144
SB22585,10721,Tata Giveaways,6496,4872
SB22586,10722,Hul R&D Leadership Forum,1646729,1235046.75
SB22587,10723,Towards Giveaway Production,29835,22376.25
SB22588,11233,Superhealth Hospital Branding,451386,338539.5
SB22589,10724,Amazon - L 7 Recognition ,34100,25575
SB22590,10725,Dell ISG Launch in Pune,6916000,5187000
SB22591,10726,Dell CSG Launch in Hyderabad,10725200,8043900
SB22592,10727,Adobe Director Summit,1456000,1092000
SB22593,10728,Cognizant Client Visit Raheja,268279,201209.25
SB22594,10729,Siemens 100 years traction: Bharat Mandapam Stall,1022599,766949.25
SB22595,10730,IKEA - May Activity,2580160,1935120
SB22596,10731,Red Hat Tech Talk Event Series,3705921,2779440.75
SB22597,10732,Tvs Shiprocket Recharge,16125,12093.75
SB22599,10733,SAP Innovation Days,142703,107027.25
SB22600,10734,Accenture Client event,192016,144012
SB22601,11234,proposal for Novo Nordisk Q1 Digest ,72600,54450
SB22602,10735,HUL - B&W JBP Myntra Meet 2025,1102551,826913.25
SB22603,10736,Siemens Individual PVC card with QR code,52557,39417.75
SB22604,10737,Amazon rockstars Gurgaon,1014046,760534.5
SB22605,10738,Intel Premium standee print,13492,10119
SB22606,10739,TCS W10K 2025,5907348,4430511
SB22607,10740,ServiceNow Giveaways,336450,252337.5
SB22608,10741,Siemens Mobility Works,320000,240000
SB22609,10742,IKEA - April Activity,713240,534930
