ProjectID,InternalId,Project Name,Billing Budget,Costing Budget
SB21942,10620,Regency AV Production,995500,450000
SB22441,10401,SAP Booth at NTLF 2025,181060,135795
SB22442,10402,IKEA - RAI Stall,553875,415406.25
SB22443,10403,THOUGHTWORKS BOOTH at the NASSCOM event,231000,173250
SB22444,10404,CIO Netskope_CIOKlub event,498978,374233.5
SB22445,10405,Tvs RRC & MMC SOUTH,37856,28392
SB22446,10406,Cognizant MACY'S Client Visit,1460800,1095600
SB22447,10407,Neo4J Swags with arrangements,23920,17940
SB22448,10408,Adobe Make it,928816,696612
SB22449,10409,Siemens Digital Kiosk ,399072,299304
SB22450,10410,SAP Build Day,75038,56278.5
SB22451,10411,Phonepe Converge,794847,596135.25
SB22452,10412,INPG Pinnacle R&R,1683242,1262431.5
SB22453,10413,Indoor Showroom Inauguration,326469,244851.75
SB22454,10414,Amazon - LML,349299,261974.25
SB22456,10416,DBS Bank - DBS Technology Roadshow,440000,330000
SB22457,10417,Cognizant Gurgaon Client Visit,14726,11044.5
SB22458,10418,DBS CEO Give Away,234230,175672.5
SB22460,10419,HMI Townhall Event 2025,872600,654450
SB22461,10420,Holi 2025 : Pan India Celebration,14685862,11014396.5
SB22462,10421,Siemens DEI Tree Making,130048,97536
SB22463,10422,Cognizant NLG Client Visit,104467,78350.25
SB22464,10423,Natwest Nicola Town Hall Meet ,396201,297150.75
SB22465,10424,HUL CEO Review ,10000000,7500000
SB22466,10425,Shella Kurlon Business Meet,720500,540375
SB22467,10426,Cognizant EDJ Client visit.,145000,108750
SB22468,10427,Cognizant Nation Wide.,250000,187500
SB22469,10428,Cognizant RBC Client Visit 2025,3288648,2466486
SB22470,10429,Novo Nordisk Townhall,818918,614188.5
SB22471,10430,BIAL Partner Connect 6.0,4610589,3457941.75
SB22472,11223,Wella Trendvision,12193500,9145125
SB22474,11225,HPCL Women's Day celebration ,745412,559059
SB22475,10431,Hero International Women's Day,9039371,6779528.25
SB22476,11226,Ducati Panigale V4 Launch,1657975,1243481.25
SB22477,10432,Google YT Shopping X Tech,4100036,3075027
SB22478,10433,Signify Plaque and Certificates,222880,167160
SB22479,10434,"Brookfield IPC Event,",3554369,2665776.75
SB22480,10435,DBS Piyush Gupta Farewell Photographer,8800,6600
SB22481,10623,Eicher Womens Day activation,94656,70992
SB22482,10624,Eurogrip RRC Activity FEB 2025,15499,11624.25
SB22483,10625,Hero Xoom Media Drive,2475151,1856363.25
SB22484,10626,DBS T&O Townhall,385550,289162.5
SB22485,11227,Jamf CIO Summit event,1236571,927428.25
SB22486,10627,Siemens Townhall,225881,169410.75
SB22487,10628,Amazon Holi Event,309188,231891
SB22488,10629,NetApp_CrossGen_RIL_Kochi_eventCustomer Event,339093,254319.75
SB22489,10630,Amazon OTS Townhall Meeting.,34496,25872
SB22490,10631,DBS Sun board Printings,15510,11632.5
SB22491,10632,Hul  Magnum x LFW,3769198,2826898.5
SB22492,10633,DBS Badminton Players  Meet & Greet,1000010,750007.5
SB22493,10634,DBS Virtual Photobooth,18150,13612.5
SB22494,10635,Siemens GBS Townhall ,518818,389113.5
SB22495,10636,HUL SC Conference 2025,11723444,8792583
SB22496,10637,HUL MacBook Purchas,253237,189927.75
SB22497,10638,Hul JBP Meet 2025,246100,184575
SB22498,10639,OnePlus SFS pop-up,355246,266434.5
SB22499,10640,OnePlus Jamnight @ IIT DTU,335929,251946.75
SB22500,10641,Tata Motors Stealth Mall Activation,10882960,8162220
SB22501,10642,Siemens MO Townhall,665782,499336.5
SB22502,10643,Siemens Elevate at Siemens Office ,2070754,1553065.5
SB22503,10644,HUL North Branch Meet 2025,1679396,1259547
SB22504,10645,Amazon - AA Leadership Connect ,143693,107769.75
SB22505,10646,Jio with arrangements,224000,168000
SB22506,10647,DBS India Townhall Q1 2025,245000,183750
SB22507,10648,Intel Premium standee delivered,150150,112612.5
SB22508,10649,Intel AIPC Workshop,293370,220027.5
SB22509,11228,Aircraft launch,94662,70996.5
SB22510,10650,Siemens Townhall,283345,212508.75
SB22511,10651,Accenture  Interns Welcome Networking Dinner,1230768,923076
SB22512,10652,Nvidia 2025,5000000,3750000
SB22513,10653,VCF Experience Days and VMUG,1480113.6,1110085.2
SB22514,10654,Accenture RSA Super Star Awards,117665,88248.75
SB22515,10655,Acrylic Name Badge Pune Visit,9350,7012.5
SB22516,10656,Accenture IHG Client Visit,176412.5,132309.375
SB22517,10657,Hitachi CIO Klub Chennai chapter event,1200000,900000
SB22518,10658,TATA debossed diaries & pens,17248,12936
SB22519,10659,TATA debossed Logo Installation,111440,83580
SB22520,10660,Towards Workshop - Delhi,197144,147858
SB22521,10661,Hul Indulekha - Good Hair Day,350000,262500
SB22522,11229,Maruti Flatbed Requirement,495845,371883.75
SB22523,10662,RNTBCI Cohort 2 Start Up Pitch awards,186450,139837.5
SB22524,10663,Amazon - eCF Leadership 2025 ,125818,94363.5
SB22525,10664,GlaxoSmithKline Certificates & Trophies,27830,20872.5
SB22526,10665,Accenture International Women's Day 2025,134992,101244
SB22527,10666,GitHub connect - Razorpay in Bangalore,284211,213158.25
SB22528,10667,Microsoft townhall,392265,294198.75
SB22529,10668,Cognizant Allianz Client Visit ,570251,427688.25
SB22530,11230,Photographer requirement for Sonata Software - Meet ,6000,4500
SB22531,11231,TVS VEHICLE MOBILITY Sign Board,11000,8250
SB22532,10669,Natwest Logistics Town Hall Meet ,337700,253275
SB22533,10670,Amazon trifold Posters,32450,24337.5
SB22534,10671,Cognizant US Bank Client Visit,169477,127107.75
SB22535,10672,Cognizant US Bank Client Visit,190960,143220
SB22536,10673,Citi Bank - Photographer,11000,8250
SB22537,10674, Siemens Dahod Ministry Visit,433026,324769.5
SB22538,10675,Mahindra GSO Offsite Decor,63910,47932.5
SB22539,10676,Amway Doug DeVos India Leadership Summit,5000000,3750000
SB22540,10677,SAP NOW 2025,23878565,17908923.75
