External ID,Created by,Order By,Purchase Order Date,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Subsidiary Location,Terms,Approval status,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
B/2025/PO/000013,amrita Sawhney,,02-01-2025,10099 A K Production (Arun Kumar S),Direct Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,Due on receipt ,Pending Approval,Event Management,Bangalore,Group CEO,Indian Rupee,,Conveyance - Events,5599,1,,Test Customer 001 - Shobiz : SB0029 Test Project 0008,HSN & SAC: Exempted,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000013,amrita Sawhney,,02-01-2025,10099 A K Production (Arun Kumar S),Direct Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,Due on receipt ,Pending Approval,Event Management,Bangalore,Group CEO,Indian Rupee,,Site Expenses - Events,3361,1,,Test Customer 001 - Shobiz : SB0029 Test Project 0008,HSN & SAC: Exempted,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000013,amrita Sawhney,,02-01-2025,10099 A K Production (Arun Kumar S),Direct Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,Due on receipt ,Pending Approval,Event Management,Bangalore,Group CEO,Indian Rupee,,Transport Expenses - Events,3708,1,,Test Customer 001 - Shobiz : SB0029 Test Project 0008,HSN & SAC: Exempted,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000013,amrita Sawhney,,02-01-2025,10099 A K Production (Arun Kumar S),Direct Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,Due on receipt ,Pending Approval,Event Management,Bangalore,Group CEO,Indian Rupee,,Printing & Stationery - Events,155,1,,Test Customer 001 - Shobiz : SB0029 Test Project 0008,HSN & SAC: Exempted,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000013,amrita Sawhney,,02-01-2025,10099 A K Production (Arun Kumar S),Direct Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,Due on receipt ,Pending Approval,Event Management,Bangalore,Group CEO,Indian Rupee,,Event Expenses - Others,750,1,,Test Customer 001 - Shobiz : SB0029 Test Project 0008,HSN & SAC: Exempted,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
