Blue Dart Express -Del
Showmedia Solution Private Limited-Che
Jungle Lodges and Resorts Ltd._V-Blr
Gaurstic-Mum
Unekha-Mum
The Indian Express Private Limited-Mum
Empee Hotels Limited (Hilton Chennai)-Che
Event City - An Affair To Remember-Mum
Showmedia Solution Private Limited-Che

Zinque (Sweet Spot) (OTV)
Stonks Studios LLP (CR)
Taal-Swara (Vansh Markandey)
Daffodils
Comfort Grid Technologies Pvt Ltd (OTV)
