External ID,Vendor,Vendor Invoice Date,Vendor Date,Type of Expense,Nature of Document,Account,purchase Order
VB0003,11070 H P Ramareddy,05/10/2024,07/10/2024,Indirect Expense,Invoices for inward supply from unregistered person,10530 ACCOUNTS PAYABLE : ACCOUNTS PAYABLE,16410
VB0004,11168 Live Productions,05/10/2024,08/10/2024,Direct Expense,Invoices for inward supply from unregistered person,10530 ACCOUNTS PAYABLE : ACCOUNTS PAYABLE,16411
