Order,Date,Item,Item NS,Quantity,Unit Price,Total Amount,Vendor Tally,Vendor NS,Branch,Created By NS,SB Code,Project NS,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval Status,Department,Line of business,Subsidiary Location,Nexus Override,Nexus,Currency,Order By NS,HSN & SAC NS,Vendor Select
A/2025/PO/000001,01-01-2025,EVENT EXPENSES-GIVE AWAYS,Event Expenses - Giveaways,1,13259.16,13259.16,Ekatra Collective Pvt Ltd-Mum,12881 Ekatra Collective Pvt Ltd,A - Mumbai,1138574 Swapnil Bangal,10057 Cognizant Technology Solutions India Pvt Ltd : SB 22256,10057 Cognizant Technology Solutions India Pvt Ltd : SB 22256,Direct Expense,Invoices for inward supply from unregistered person,27-Maharashtra,6,45 Days,Pending Approval,Group CEO : CEO : BU South,Event Management,Chennai,FALSE,Nexus-Maharashtra,India Rupee,1044969 Clinton J,HSN & SAC: 12%,"Kota, Rajasthan"
A/2025/PO/000001,01-01-2025,EVENT EXPENSES-GIVE AWAYS,Event Expenses - Giveaways,1,47135.72,47135.72,Ekatra Collective Pvt Ltd-Mum,12881 Ekatra Collective Pvt Ltd,A - Mumbai,1138574 Swapnil Bangal,10057 Cognizant Technology Solutions India Pvt Ltd : SB 22256,10057 Cognizant Technology Solutions India Pvt Ltd : SB 22256,Direct Expense,Invoices for inward supply from unregistered person,27-Maharashtra,6,45 Days,Pending Approval,Group CEO : CEO : BU South,Event Management,Chennai,FALSE,Nexus-Maharashtra,India Rupee,1044969 Clinton J,HSN & SAC: 18%,"Kota, Rajasthan"
