External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
A/2025/PO/000022,,,07-01-2025,Ameya Integrated Services-Mum,AmeyaIntegratedServices,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000023,,,07-01-2025,Emblaze Events (Sunita Harihar Sharma)-Mum,EmblazeEvents(SunitaHariharSharma),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000024,,,07-01-2025,The Indian Performing Right Society Ltd.-Mum,TheIndianPerformingRightSocietyLtd.,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000025,,,07-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000026,,,07-01-2025,Novex Communications Pvt. Ltd.-Mum,NovexCommunicationsPvt.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000027,,,07-01-2025,Z Bliss Suites (Zolostays Property Solutions Pvt Ltd)-Mum,ZBlissSuites(ZolostaysPropertySolutionsPvtLtd),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000028,,,07-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000029,,,07-01-2025,Sconce Global Pvt Ltd-Mum,SconceGlobalPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000030,,,07-01-2025,Novex Communications Pvt. Ltd.-Mum,NovexCommunicationsPvt.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000031,,,07-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000032,,,07-01-2025,Rak Lead Events-Mum,RakLeadEvents,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000033,,,07-01-2025,Sportocraft Enterprises-Mum,SportocraftEnterprises,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000034,,,08-01-2025,U2 Entertainment-Mum,U2Entertainment,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
