External ID,Created by,Order By,Purchase Order Date,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Subsidiary Location,Terms,Approval status,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
B/2025/PO/000006,1131024 Anurama V,,01-01-2025,11562 Lynx Security & Detectives Services (P) Ltd,Indirect Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,10 Days,Pending Approval,,,,Indian Rupee,,Security Charges,48991,1,,,HSN & SAC: 18%,Services,Nexus-karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000006,1131024 Anurama V,,01-01-2025,11563 Lynx Security & Detectives Services (P) Ltd,Indirect Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,,10 Days,Pending Approval,,,,Indian Rupee,,Inter Office Expenses,23151,1,,,HSN & SAC: 18%,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000004,1137790 Alok Khanna,,01-01-2025,10476 Renaissance Bengaluru Race Course Hotel (Dharampal Satyapal Ltd),Direct Expense,Invoices for inward supply from unregistered person,29-Karnataka,Shobiz Experiential Communications Pvt Ltd,Delhi/ Gurgaon,90 Days,Pending Approval,Event Management,,Group CEO : CEO : BU North,,"Bangalore, Karnataka",stay charges - Events,279000,1,,10165 OnePlus Technology India Pvt Ltd : SB 22267,HSN & SAC: 18%,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
D/2025/PO/000001,1128186 Ravi Kiroula,,02-01-2025,12892 Jarvas Smart Solutions Pvt Ltd,Direct Expense,Invoices for inward supply from unregistered person,06-Haryana,Shobiz Experiential Communications Pvt Ltd,Delhi/ Gurgaon,45 Days,Pending Approval,Event Management,,Group CEO : CEO : BU North,,"Gurugram, Haryana",Stage & Set Expenses - Events,3787500,1,,10018 Vinfast Auto India Pvt Ltd : SB 22159,HSN & SAC: 18%,Services,Nexus-Delhi,TRUE,,,"Gurugram, Haryana"
