id,sb id,name,updated id
10596,SB22666,HPE Aruba CXO Meet,SB22666 HPE Aruba CXO Meet
10595,SB22664,Amway BBS Multicity events ,SB22664 Amway BBS Multicity events 
10594,SB22662,Tata Fleet Management at Waves,SB22662 Tata Fleet Management at Waves
10593,SB22657,Google YT Shopping Lifestyle edition ,SB22657 Google YT Shopping Lifestyle edition 
10592,SB22656,OnePlus Masterclass,SB22656 OnePlus Masterclass
10591,SB22646,Hero Farwell event,SB22646 Hero Farwell event
10590,SB22640,YTCC X-Waves,SB22640 YTCC X-Waves
10589,SB22630,Adobe Partner Summit hotel ,SB22630 Adobe Partner Summit hotel 
10588,SB22626,Adobe Elite Circle,SB22626 Adobe Elite Circle
10587,SB22623,HPE Zerto Enablement ,SB22623 HPE Zerto Enablement 
10586,SB22622,Townhall at Microsoft,SB22622 Townhall at Microsoft
10585,SB22618,Hyundai Global Service Seminar 2025,SB22618 Hyundai Global Service Seminar 2025
10584,SB22615,Kia Clavis Hybrid ,SB22615 Kia Clavis Hybrid 
10583,SB22613,VinFast Digital Promotions,SB22613 VinFast Digital Promotions
10582,SB22612,Greenlam GT Launch,SB22612 Greenlam GT Launch
10581,SB22598,KNMA WithIn by Aditi Mangaldas,SB22598 KNMA WithIn by Aditi Mangaldas
10580,SB21825,Audi 100 K Milestone Celebration Event,SB21825 Audi 100 K Milestone Celebration Event
10579,SB21718,Google YouTube Creator Collective Q3 2024,SB21718 Google YouTube Creator Collective Q3 2024
10578,SB22668,Brookprop WATERSTONES,SB22668 Brookprop WATERSTONES
10577,SB22667,40th Year Anniversary,SB22667 40th Year Anniversary
10576,SB22665,CIO KERALA CHAPTER,SB22665 CIO KERALA CHAPTER
10575,SB22663,Siemens Canteen Inauguration Event,SB22663 Siemens Canteen Inauguration Event
10574,SB22661,Takasago Food solution centre Inauguration,SB22661 Takasago Food solution centre Inauguration
10573,SB22660,HUL iSight App Showcase,SB22660 HUL iSight App Showcase
10572,SB22659,Amazon Day One at Work,SB22659 Amazon Day One at Work
10571,SB22658,Red Hat Immersion Day,SB22658 Red Hat Immersion Day
10570,SB22655,Red ACE Program - Aditya Birla Group,SB22655 Red ACE Program - Aditya Birla Group
10569,SB22654,Amazon Transcend Graduation,SB22654 Amazon Transcend Graduation
10568,SB22653,SS Plate _SEIL Name Plates,SB22653 SS Plate _SEIL Name Plates
10567,SB22652,Amazon collateral design and print,SB22652 Amazon collateral design and print
10566,SB22651,Amazon IN Finance Career Day 2025,SB22651 Amazon IN Finance Career Day 2025
10565,SB22650,Kotak Townhall with CEO,SB22650 Kotak Townhall with CEO
10564,SB22649,Cognizant Zumba activity,SB22649 Cognizant Zumba activity
10563,SB22648,Mahindra Press & Analyst Meet,SB22648 Mahindra Press & Analyst Meet
10562,SB22647,Indo IFCCI Seminar. ,SB22647 Indo IFCCI Seminar. 
10561,SB22645,"Hul Shiva's Farewell Event,","SB22645 Hul Shiva's Farewell Event,"
10560,SB22644,Intel - Webinr Series for Audience Acquasition,SB22644 Intel - Webinr Series for Audience Acquasition
10559,SB22643,AI@Walmart,SB22643 AI@Walmart
10558,SB22642,Amazon Townhall event,SB22642 Amazon Townhall event
10557,SB22641,Siemens GBS SSON Visit,SB22641 Siemens GBS SSON Visit
10556,SB22639,BROOKFIELD DC VS RCB IPL,SB22639 BROOKFIELD DC VS RCB IPL
10555,SB22638,Red Hat F & B,SB22638 Red Hat F & B
10554,SB22637,Natwest Ruchika Town Hall Meet,SB22637 Natwest Ruchika Town Hall Meet
10553,SB22636,Walmart Townhall,SB22636 Walmart Townhall
10552,SB22635,Amazon BOX Installation,SB22635 Amazon BOX Installation
10551,SB22634,Red Hat Immersion Day - Mumbai | Q2,SB22634 Red Hat Immersion Day - Mumbai | Q2
10550,SB22633,Cognizant - Client Visit,SB22633 Cognizant - Client Visit
10549,SB22632,"Accenture stall @ NASSCOM GCC Summit,","SB22632 Accenture stall @ NASSCOM GCC Summit,"
10548,SB22631,Red Hat BFSI Summit ,SB22631 Red Hat BFSI Summit 
10547,SB22629,STT Advantage Employee offsite,SB22629 STT Advantage Employee offsite
10546,SB22628,Red ABM Account Day,SB22628 Red ABM Account Day
10545,SB22627,Natwest Nasscom GCC Summit 2025,SB22627 Natwest Nasscom GCC Summit 2025
10544,SB22625,GBS Finance Offsite ,SB22625 GBS Finance Offsite 
10543,SB22624,Phone Pe - Converge,SB22624 Phone Pe - Converge
10542,SB22621,Towards T-shirts with branding - Partner Kick Off,SB22621 Towards T-shirts with branding - Partner Kick Off
10541,SB22620,Palo Cybersecurity Leadership Summitt ,SB22620 Palo Cybersecurity Leadership Summitt 
10540,SB22619,Siemens - HR Offiste 2025,SB22619 Siemens - HR Offiste 2025
10539,SB22617,Cognizant NW visit ,SB22617 Cognizant NW visit 
10538,SB22616, HDFC Bank Tech Workshop HYD,SB22616  HDFC Bank Tech Workshop HYD
10537,SB22614,Tally Mahasabha 2025,SB22614 Tally Mahasabha 2025
10536,SB22611,Bumblebee Fun Activities,SB22611 Bumblebee Fun Activities
10535,SB22610,Amazon Whiteboard Animation video project,SB22610 Amazon Whiteboard Animation video project
10534,SB21992,Meeting Expenses,SB21992 Meeting Expenses
10533,SB21768,HUL Finomenals 2024,SB21768 HUL Finomenals 2024
10532,SB21386,Accenture  FE Utsava - Carnival Artists,SB21386 Accenture  FE Utsava - Carnival Artists
